总部基地写字楼	南四环西路188号
亚之杰大厦	朝阳区京顺路109号
草场地艺术区	五元桥机场辅路边上
弘彧大厦	海淀区学院路7号
环洋大厦	海淀区上地东路1号院7号楼
华鹰大厦	新兴桥东南角
亿方大厦	苏州街26号
中科资源大厦	北京市海淀区南三街6号
丽都大厦	首都机场蒋台路
展龙写字楼	京原路10号
金枫大厦	朝阳区酒仙桥彩虹路甲6号
E9大厦	锦什坊街35号
巨石大厦	新中西里13号
中鼎大厦	北三环西路甲18号
汇众科技大厦	上地七街1号
一轻科技信息大厦	两广路双井桥东300米左右路南
汉督国际	朝阳区广渠路39号院2号楼
御河大厦	高碑店西工业区御河大厦
新元科技园	昌平区沙河镇昌平路97号
橡树湾写字楼	清河桥西橡树湾小区南侧
阳光878商务中心	酒仙桥路12号
凯富大厦	朝阳区工体北路6号
港湾国际写字楼	东直门外大街28号
西国贸·科技孵化广场	丰管路16号
亚洲大酒店	工体北路新中西街8号
青东大厦	中关村高科技园区，紫竹桥西200米
瑞赛大厦	大北窑东三环南路20号
北京时代网络大厦	海淀区海淀南路19号
三川大厦	和平西街三号
鑫泰大厦	云霄路西侧
718传媒文化创意园	甘露园19号
国投尚科大厦	北京经济技术开发区东区科创五街与经
新东源大厦	海淀区成府路35号院
清枫商务中心	林大北路清枫华景园
通惠国际传媒广场	朝阳区西大望路甲12号
瀚海花园大厦	丰台区开阳路1号
紫荆豪庭写字楼	东三环北路30号
国投创意产业园	朝阳区酒仙桥中路18号
湖北大厦	中关村南大街36号
雍和宫写字楼	藏经馆胡同11号，雍和宫地铁旁
金苑大厦	朝阳区北苑路36号
银河大厦	西客站南广场对面
志远大厦	上地六街28号
通惠大厦	北京市朝阳区高碑店乡半壁店村惠河南
铭基国际创意公园	北京市朝阳区朝阳路大黄庄35号
丰铭国际中心	丰盛胡同18号
汇泰大厦	东四环大郊亭桥东
新华文化大厦	交道口南大街15号
中辰大厦	望京利泽中二路1号
国能中心	朝阳区将台路5号院5号楼
首信大厦	酒仙桥将台路5号
中海地产广场	南二环外陶然亭桥东南角
北京国际饭店	北京市东城区建国门内大街9号
铜牛国际大厦	光华路15号
白云时代大厦写字楼	莲花池东路5号
中关村中科院空间中心	中关村东路保福寺桥南
自然美大厦	南三环中路68号，木樨园桥东南角
海淀招商大厦	四季青桥西北角
瑞海大厦	西客站 莲花池东路53号
牡丹园写字楼	海淀区花园东路
上地写字楼	上地信息产业基地
有色地质大厦	大羊坊5号院4区
万科红写字楼	东铁营宋家庄路
贡院六号写字楼	北京市东城区贡院西街
德为科技园	北京经济技术开发区科创十三街12号院
中电金扬	北京经济技术开发区地盛南街1号院
川岩大厦	北京市丰台区马家堡中路21号
天宁大厦	宣武区西大街53号
交大知行大厦	高粱桥斜街
金益大厦	金融大街4号
北京懋隆文化创意产业园	北京市朝阳区三间房东路1号
飞利信大厦	北四环花园路
乐府商务大厦	海淀区田村路田村半壁店
学创大厦	学院南路12号北京师范大学南门西南侧
泰来商务大厦	上地信息环岛南
金远见大厦	海淀区上地信息路1号
利星行广场	北京市朝阳区望京街8号
宏福大厦	宏富大道往西200米
联想大厦	海淀区上地信息产业基地创业路6号
德元九和大厦	朝阳区华威桥东弘燕路口
上地科技大厦	上地西路8号院
科原大厦	西三环北路甲105号
迪蒙大厦	花园路与北土城路交叉处
蓝宝商务大厦	安贞桥东北侧
北京红都阳光宾馆	北三环东路西坝河西里
现代金瓯大厦	朝阳区安贞里二区1号楼
绮美大厦	北京市海淀区远大西路29号
77文化创意园	北京市东城区美术馆后街77号
北人户外产业园	垡头化工路附近
宁波银行写字楼	丰台地铁七里庄站
地雅商务园	东风南路
金园国际中心	海淀区东冉北街9号
七棵树创意园	五环路七棵树桥出口西行200米
天工大厦	海淀区学院路东北角
京通大厦	北京市朝阳区四惠地铁站京通大厦
学知轩大厦	海淀区学清路16号
奥亚酒店写字楼	北京市朝阳区北苑路大屯169号
红星大厦	建国路90号
宏天商务中心·东直门	北京市东城区北二里庄44号迤南1号楼
友谊宾馆香园写字楼	中关村南大街1号
中础大厦写字楼	地铁八角游乐园站
中关村瀚海国际大厦	中关村西区综合科贸三区18号地块
金阳大厦	金融大街丁16号
梓峰大厦	大雅宝胡同1号
乐凯大厦	西城区广义街7号
蓝涛中心	朝阳区万红路5号
中关村数字电视产业园	北京市海淀区花园路25号
东城逸墅写字楼	东城区东直门十字坡东里9号
吉里国际艺术区	高碑店路甲一号
NET大厦	来广营红军营南路甲1号
蓝海中心	上地东北旺南路
技术交易大厦	北四环西路66号
万霖大厦	北京市海淀区农大南路88号
紫熙台写字楼	西四环中路112号
鼎盛置业写字楼	燕郊开发区亿丰大街北侧
中盐大厦	丰台区莲花池南里24号
中太大厦	北京市海淀区后八家26号
中辉世纪传媒大厦	北京经济技术开发区地盛中路3号中辉世
泰跃商务楼	海淀区知春路
科海福林大厦	海淀区中关村南大街12号
伊泰大厦	西直门北大街58号
得实大厦	上地东路9号
崇新大厦	北京市石景山实兴东街18
景阳宏昌大厦	石景山体育场南路2号
泰禾文化大厦	康家沟尚8里文化创意园
贵州大厦	樱花西街18号
中商大厦	三里河东路5号
国宾世贸中心	阜外大街11号
欧美汇大厦	中关村西区东三街2号
瑞城中心	小亮马桥路48号
鑫企旺大厦	天坛东路74号
立业大厦	洋桥马家堡东路71号
航空大厦	朝阳区西大望路甲2号
冠京写字楼	丰台区丰北路甲79号
健翔大厦	健德桥华延北里甲1号健翔山庄B6座
东华金座写字楼	广安门内大街
电科大厦	鲁谷路35号
青蓝大厦	东四十条桥24号
上地大厦	上地信息路30号
辰运大厦	北辰东路8号
平安国企大厦	金融大街35号
丰宝恒大厦	民族园路2号
世纪兴源大厦	奥体东门向东300米
西店创意写字楼	朝阳区半壁店乡西店新村2号楼
四季阳光科技园	巨山路99号
爱家文化创意产业园	朝阳区高碑店文化新街爱家文创园
龙冠商务中心	回龙观西大街1号院万意商场对面
发展大厦	朝阳区东三环北路5号
悦MOMA	海淀清河安宁庄西路9号院综合楼
恺王国际	北京经济技术开发区科创十街10号
金泰鑫桥大厦	新兴东巷5号
裕友大厦	美丽园中路16号院5号楼
岳虹大厦	同济南路可口可乐公司旁
珠市口国开写字楼	珠市口东大街14号
谱田大厦	方庄南路9号院
恒祥大厦	团结湖路15号
北辰大厦	大兴黄村东大街
惠安轩写字楼	安苑路甲17号
嘉城广场写字楼	东大街29号
蓝宏中心	定慧北里9号楼
中水大厦	民丰胡同31号
赛迪大厦	紫竹院路66号
东联大厦	德胜门东大街8号
博远大厦	紫竹院路120号
莲花池西里市政办公及商业用房	海淀区莲花池西路
航天信息园	杏石口路甲18号
金融大厦	金融街C区5号地东半部
金融街B7大厦	金融街B区7号地
宣武门大厦	宣武门SOGO北侧
中铝大厦	西直门桥东北角
申奥商务楼	广渠东路3号
中扬科技大厦	中关村南大街27号
银都大厦	海淀区阜成路67号
阜成大厦	北京市西城区北礼士路甲98
北京建筑大厦	玉渊潭路与翠微路交口的东北角
华控大厦	上地东路1号
鸿坤国际大饭店	西客站南广场东区
安贞桥写字楼	安贞安定路20号
乡企大厦	惠新东街6号
民族证券大厦	朝阳区西坝河南里22号楼
中国艺术品大厦	北京市海淀区知春路58号
京仪科技孵化器	北京市西城区百万庄大街甲16号
广利达独栋	宣武门广安门广利达独栋
傲城天溪园商街	北京市朝阳区天溪园21～22号楼
宋家庄交通枢纽写字楼	宋家庄地铁站
景山财富中心	石景山古城现代嘉园对面
丰盛商务楼	西四北大街羊皮市胡同乙1号
龙隆昌大厦	刘家窑桥南800米
府学商务楼	东城区中剪子巷17号
邮电新闻大厦	北京市朝阳区安苑路11-1
商通大厦	北京市朝阳区建华南路11号
天路蓝图	马家堡东路12号
信安大厦	石景山路40号
顺捷大厦	北京市顺义区顺平路南法信段9号
宏达工业园	宏达北路8号院
冠方大厦	西四环彰化路18号
金润大厦	公益桥北300米路东
国峰时代	东四环外朝阳北路大悦城北500米青年路
海升大厦	五道口成府路清华园宾馆东侧
正源广场写字楼	西四环定慧北桥东北角
昌盛大厦	西城区北新华街29号
汉华世纪大厦	学清路和林大北路交汇口
当代moma商务中心	香河园路1号
中建二局大厦	广安门南街42号
森德大厦	北京市东三环中路16号
亚宝时代写字楼	朝阳北路黄渠西南角
华夏银行大厦	西城区金融街6号
昌宁大厦	丰台区富丰桥南科学城星火路1号
龙腾文化大厦	裕安路
亚奥人家写字楼	健翔桥北安翔里小区亚奥人家
西藏大厦	北京市朝阳区北四环东路118号
姜杰钢琴城	海淀区远大路南侧
龙冠置业大厦	北京昌平回龙观北郊农场桥东
嘉慧苑写字楼	西三环紫竹桥香格里拉大饭店西侧
园景国际大厦	通州梨园云景北里
中联大厦	东城区蒋宅口东南，安定门外大街甲88
华信电力大厦	西城区德外六铺炕北小街5号
鲁能科技大厦	海淀区上地街
京贸中心写字楼	通湖路80号
爱慕大厦	望京工业开发区利泽中园二区218-220号
天怡商务楼	双榆树东里5号楼附近
清城商务楼	黄村镇兴华路9号
现代柏林大厦	北京市朝阳区东三环南路大路园20号
辽宁饭店写字楼	石油机关幼儿园1号
金谷大厦	杏石口路55号
东方瑞景写字楼	朝阳区建国门外大街16号
万寿商厦	万寿路15号院7号
东朝时代广场	百子湾路石门村5号
京都瑞成大厦	宣武区陶然亭路12-10
太丰惠中大厦	珠市口西大街
海通大厦	南礼士路甲3号
宏鑫写字楼	大望桥东200米建国路82号
新华办公楼	西城区车公庄新华办公楼
启迪科技大厦	中关村东路1号院
高登大厦	西单横二条59号
中粮福临门大厦	朝阳门南大街东侧
中冶·国际中心	北三环东路与京顺路交接处路口北侧
恩济大厦	亮甲店130号
乾元大厦	东直门内大街19号
伟图大厦	龙潭湖路乙三号
北广福丽特大厦	黄寺大街甲23号院
凯奇大厦	海淀区马甸桥旁
时代集团	上地产业基地信息路
汉太华写字楼	花园路13号
明湖大厦	西城区黄寺大街24号院19号楼
北京东外外交办公楼	东城区东外三角地
庆安大厦	东三环宵云路27号
百灵大厦	国展中心
中国汽车大厦	西客站北广场
国都大厦	朝阳区左家庄
名成国际大厦	建国门南大街
华晨大厦	东北方惠忠路北
金域国际中心写字楼	西二旗北路北侧 京藏高速西侧 地铁13
青年创业大厦	昌平区沙河镇
金融街长安中心写字楼	西长安街与古城大街交汇处西南角
红金龙国际企业港	大兴军民结合产业园甲1号
北京工商联大厦·崇文	东城区广渠门内白桥大街22号
小悦中心	北京市朝阳区青年路12号院
中煤信息大厦	朝阳区芍药居35号
中彩大厦	广安门南街48号
珠江摩派国际商业	北京市昌平区北清路1号院珠江摩派
中煤建设大厦	天通苑龙德广场对面
星岛商务中心	北京经济技术开发区西环北路18号
华商创意中心	科苑路18号
宏城鑫泰大厦	姚家园路105号
汇雅达大厦	北京市东城区东直门外斜街甲42号
八家郊野公园工作间	海淀区双清路5号东升八家郊野公园
政法大厦	北京市海淀区北三环西路辅路5号
绿森时代广场	朝阳区黄杉木店路9号
搜宝崇文大厦	北京市东城区磁器口东北角崇文门新世
创景大厦	首体南路38号
姚家井二巷19号	姚家井二巷19号
鸿顺园商业楼	地铁良乡大学城西站
胜利智地企业园	北京市通州区马驹桥景盛中街13号
雪梨澳乡写字楼	小营环岛东北角至西三旗环岛东南角
鸿坤西山云景写字楼	葡萄嘴环岛北50米
新科祥园独栋写字楼	新科祥园甲5号
高速大厦	北京市丰台区方庄芳星园二区4号
银海洋商业楼	清河安宁庄东路商业街
科行大厦	中关村南三街15号
钰阳商业楼	西环南路56号
联创大厦	海淀上地西路与上地七街交叉口
K2百合湾写字楼	通胡大街70号
当代商城鼎城店	石景山区阜石路165号金鼎商贸区
国宜广场	海淀区西三环中路19号
密云招商大厦	西大桥路21号
乐邦广场	朝阳区立水桥南锦芳路1号
瞰都国际写字楼	东四环北路10号
大稿原创	大稿新村
兴天海园商务楼	上地农大南路树村西一街33号
中泰大厦	双清路
兴东南大厦	成寿寺路苇子坑2号
嘉华世纪大厦	建外大街18号
兴福商厦	北京市场阳区定福庄西街兴福商厦
中国铁建大厦	北京市海淀区复兴路40号
京泰自主城写字楼	十八里店南桥西南角
汉唐国际大厦	靛厂新村
金隅科技大厦	西福村1号
康熙写字楼	南三环分钟寺村519号
首尔甜城MOBO国际中心	燕郊开发区燕顺路
蓝旗营写字楼	清华南门蓝旗营车站
金成府写字楼	梨园镇城铁九棵树站南侧
北京供销农资大厦	西四环南路30号
smart空间	地铁4号线首站天宫院地铁站东侧
辽宁大厦	北京市海淀区北四环西路甲二号
齐鲁海泰商务楼	朝阳区百子湾西里朝阳交通支队路西
宏名轩商务楼	温都水城向东400米路南
弘善家园商业独楼	朝阳区十里河桥北弘善家园临街独楼
泰达中央soho	汉王路与学院大街交汇处
龙泽苑西区综合大楼	昌平区回龙观镇龙泽苑西区南门
裕宝商贸中心	海淀区阜成路44号院内
7克拉大厦	丰台马家堡东路向北步行8分钟到达地铁
工体综合楼	朝阳区工人体育场南门向西20米
丰体时代大厦	丰体南路1号
中国电影导演中心	朝阳区酒仙桥北路9号
金红都商厦	北洼路28号
中兴燕郊产业园	河北省三河市燕郊中兴产业园
良乡建工大厦	良乡政通西路
贝晶国际马球俱乐部	朝阳区酒仙桥北路大环里庄园西路一号
金花大厦	拱辰大街与良乡中路交叉口
圣芳大厦	西城区牛街11号
嘉和一品大厦	顺义区南法信镇东支路，南法信地铁站
新源里独栋商业	新源南路亮马桥地铁口c口旁
玉海大厦	北京市海淀区玉泉路甲12号
纳帕澜郡写字楼	大柳树环岛西800米路南
京西大厦	复兴路14号
西红门工业区	北京大兴西红门福伟路
靠山居双子座	房山区长阳镇长韩路6号
民商大厦	海淀区苏州街
神都天骄大厦	海淀区公主坟万寿路地铁口旁
东方雅苑写字楼	西大望路63号院
东方文华大厦	东四十条桥西南角
罗马湖文化产业园区	北京市顺义区后沙峪地区裕民大街1号
excel大厦	西城区武定侯街6号
万盛商务会馆	海淀区花园路小关街120号万盛商务会馆
京源大厦写字楼	北京市宣武区双槐树小区甲1号楼
怡升园公寓	知春路海关大厦楼后怡升园公寓
意菲克大厦	八通线双桥站东南角
九和大厦	西城区北礼士路大街新华里小区
宜琴商务中心	北京市东城区朝阳门西水井胡同
工体3号写字楼	工体西路3号
瀚海长城大厦	石景山路22号
金街悦府	顺义地铁口南200米
和平汇	北京市东城区和平里中街25号
国翼中心	T3东南2公里，机场东路与四纬路交汇处
振龙大厦	丰台区东罗园9号楼
中联国际文化发展大厦	中关村东路和知春路交汇处东南角
宝达大厦	夕照寺街16号
观林园35号楼写字楼	林萃路森林公园北侧观林园小区内
方庄GOGO新世代	方庄GOGO新世代四层
龙岗路27号院写字楼	龙岗路27号院北侧
隆孚大厦	云景东路432号
港旅大厦	望京湖光中街与南湖北路交叉口
正运通酒店	通州区马驹桥镇杨秀店北
金泰五环宾馆	北京东土城路4号
熙锦大厦	通州区云景东路1号时尚街区
北京大地花园酒店	北京市海淀区海淀大街35号
都邦保险大厦	西城区晾果厂
华英园9号商业楼	顺义府前西街
宏天商务中心	北京市朝阳区向军南里二巷7号楼
青政大厦	海淀区西三环万寿寺
新主张大厦	朝阳区北土城西路11
中商和旭大厦	中关村南三街6号楼
国际气候大厦	科荟路55号
瑞欧特写字楼	北京市东城区金宝街南侧大羊宜宾路
中国矿山大厦	和平街十三区甲20号
中宏大厦	西直门南小街6号
北科创业大厦	朝阳区北苑路
大琛科技园	亦庄开发区景园街10号
金杠杆	亦庄宏大南路
京点盛世财富中心	建国路98号院5号楼
北京慧谷文化创意园	管庄地铁站西侧
社保大厦	新街口外大街1号
玉北商务楼	彰化南路18号
红莲大厦	西城区红莲南里30号
中加大厦写字楼	广安门南街78号
广信嘉园写字楼	广安门内大街319号
鹭峯国际	国门商务区，顺通路与林河北大街交汇
泰和国际大厦	虎坊桥路口西南
托普科技园	西南四环丰台科技园东区二期
玉竹园·里畅龙苑	房山良乡长虹东路18号
中都雅润	马连道茶城家乐福南400米
新媒体大厦	西红门镇北兴路东段2号星光影视园
红森soho	天坛公园北门西侧500米
艺术加工坊	杏石口路55号西杉创意园
宏汇园	金融街辟才胡同
华城SOHO	东城区夕照寺街16号
小营独楼	朝阳区亚运村小营路附近写字间
雅安国际	建国门外大街
有色金属研究院	复兴路丙12号
E-PARK	经海二路29号
九州神华商务楼	夕照寺街16号院
金汉王大厦	望京北路和翠屏西路之间
宝鼎大厦	打磨厂东街7号
展春园小区服务楼	海淀区稻香西里8号
中冀斯巴鲁	北京经济技术开发区
佳林工厂	北京市大兴区磁各庄南
鑫兆丽园商住楼	大羊坊甲6号院
海航海鱼国际中心	东四环欢乐谷对面
依都阁大厦	海淀区西直门北大街5号明光村十字路口
融鼎大厦	朝阳区延静里中街3号院17号楼
奥源德江	北京亦庄经济开发区科创7街
万柳国税独楼	海淀区万柳中路
企业网大厦	公主坟地铁口南200米
中美天道主楼	北京经济技术开发区科创五街
蓝景德	长安街沿线东单地铁口
崇文科技大厦	崇文区东打磨厂街3号楼
新宇创新	北京经济技术开发区科创五街
中铁十九局大厦	北京市经济技术开发区荣华南路19号中
八大处路28号	石景山区西山枫林四区东门
瑞赛E-Park	北京经济技术开发区亦庄路东区经海二
喜隆多购物广场写字楼	苹果园地铁西150米
雅居新天地	石景山区杨庄北区法院西门
玉渊潭南路九号院	中华世纪坛东侧玉渊潭公园南侧
宏顺维综合商务写字楼	顺义区府前西街华英园9号楼
西杉创意园·和旭智谷	杏石口路65号西杉创意园四区
金开大厦	金融街核心区北区
龙源通惠大厦	四惠东仿古建筑群内
方兴大厦	北京市海淀区学院路30号
祥龙商务大厦	宣武区广安门内大街广义街10号院
经开万佳商业中心	北京市朝阳区小红门东马路99号
星悦国际	亦庄物流产业园区，临京津塘高速东侧
尚座大厦写字楼	尚座宣武门西大街甲95号
辰光嘉园写字楼	良乡拱辰南大街42号
泰豪大厦	北京经济技术开发区荣昌东路
石韵浩庭写字楼	广渠路33号
皓月写字楼	鲁谷路52号
东霖新能大厦	中关村永丰产业基地丰贤中路9号
田氏大厦	良乡拱辰大街
海开大厦	海淀南路海淀法院附近
九城集团大厦	朝阳区东大桥
金源利德大厦	北京市经济技术开发区
百欣科技楼	北京市海淀区中关村南大街12号
第三区写字楼	宣武区广外马连道胡同1号
瑞春办公楼	公主坟新兴宾馆以北300米
农丰商务大厦	北京海淀区复兴路61号
泽青科创产业园	北京经济技术开发区同济南路
佳美佳大厦	门头沟区双峪路5号
花百大厦	北太平庄路甲1号
瑞普大酒店写字楼	海淀区西翠路
东方联发大厦	丰台区北京西站配楼
兴农会馆	海淀区志新路27号
双泉宾馆写字楼	海淀区德外双泉堡
帝园大酒店	北京市海淀区太平路甲18号
圆明写字楼	北京朝阳区潘家园东里15号楼南楼
泰诚商务会馆	海淀区大慧寺8号
汇通商苑	宣武门西大街甲127号
馨雅大厦	海淀区西四环北路63号
九方大厦	北京市海淀区羊坊店路11号
桥苑艺舍	北京市东城区建国门内小街
新桥大厦	新桥大街57号
林吉大厦	北京市顺义区空港物流园区八街9号
中国石油管道大厦	宣武区广义街甲8号
万发大厦	海淀区西三环中路18号
万网大厦	西城区鼓楼外中轴路
同方大厦	北京市双清路
天运写字楼	朝阳区安惠东里
兆金大厦	西单北大街灵境胡同甲42号
正恒写字楼	海淀区复兴路61号院
岳安商务楼	朝阳区市静安里30号
中天大厦	西城区德胜门外大街甲5号
兆佳商务楼	朝阳区松榆西里北路2号
天洋大厦	海淀区羊坊店路6号
泰珍嘉大厦	朝阳区东三环国贸桥东南角
紫萱园写字楼	东城区安德里北街甲20号
数字北京大厦	北京市安定路1号
海博写字楼	海淀区西四环北路136号
金孔雀大厦	北京市朝阳区东土城路13号、15号
冠华大厦	西城区西直门内大街118号
京裕大厦	清华东路甲1号
广宸商务楼	左家庄三区,国展中心南侧
嵘辰写字楼	海淀区复兴路61号
京江阳光写字楼	海淀区巴沟南路35号
福来特写字楼	西城区鼓楼桥北50米
大业商务俱乐部	西城区二三环间黄寺大街23号
恒欣商务大厦	北京市海淀区复兴路61号
航天金融大厦	平安大街与赵登禹路交汇处西北角
吉友大厦	海淀区厂西门路2号
北京四季中心	朝阳区三四环间小亮马桥路48号
元隆顾绣绸缎商行	永内东街中里15号
格外88写字楼	朝阳区定福庄北街
百环硅谷香林写字楼	海淀芙蓉里南街6号
TOHO写字楼	世界公园南500米
鹏龙大厦	朝阳区华威里甲2号楼
世宗大厦	望京广顺南大街
铱星世纪写字楼	双安商场东边
宏昌商务园	石景山区双园路一号
远望楼写字楼	北太平庄桥西三环路北
新新商务楼	甘家口大厦西30米
运通行国际商务大厦	北京市东大街57号
万城大厦	北京市金沟河路19号
自动化大厦	中关村东路95号
中建大厦	海淀区三里河路9号
伊利大厦	朝阳区华威西里55号楼
泰富大厦	西城区德外大街乙10号
豪城大厦	朝阳区左家庄中街6号院
京物大厦	酒仙桥北路5号
元立大厦	北京市惠新东街23号
凯驰大厦	金辅路甲2号
新奥物业写字楼	鸟巢南侧景观大道旁地铁10号线北土城
茶马大厦	马连道路19号
奥亚大厦	金苑路甲20号
广安门外南街47号院	广安门外南街47号
润杰大厦写字楼	水关环岛西北角
经贸中心	通州区通胡大街
恒安大厦	东三环北路长虹桥南17号
左安门左安路21号院	左安门左安路21号院
深博达商务楼	厂洼街5号院
九龙国际大厦	大望路与长安街交叉路口西南
万丰基业大厦	马连道茶城附近
丰台631仪表厂	丰台区造甲南里
民营科技创业园	海淀区体院西路甲2号
贵族之家商务楼	马连道茶城家乐福南200米
三金大厦	厂洼东街66号
天都京港大厦	珠市口东大街13号
东居兴业写字楼	马连洼北路九号
环境大厦	广渠门内大街16号
合众大厦	西四环四季青桥西北角
洪海商务楼	天通苑北三区东侧燕丹村283号
盛厦商务楼	东三环北路16号院12号
火星时代大厦	北京市海淀区杏石口路75号
鸿府大厦	五棵松路北甲8
向阳商厦	北京房山区燕山向阳商厦
泰思特大厦	北三环中路31号
融会贯通商务楼	复兴路83号
中电兴发大厦	永定路甲15号
中澳写字楼	五路居地铁站C口东100米
万泰商厦	万寿路15-9号
科研大厦	海淀南路海淀派出所旁
科群大厦	北四环中路257号
中设大厦	宣武区广安门外大街178号
右外大厦	右安门外大街6
北沙滩8号楼	北沙滩桥向北100米
北京庄德商务中心	西直门北大街47号院
平谷科技信息大厦	青少年活动中心原址
大唐科研大厦	学院路40号
丰台产业基地	丰台产业基地
宾阳大厦	鼓楼东大街长城环岛东南侧
拱辰大厦	房山区良乡卫星城拱辰大街
燕南大厦	开阳里西巷4号
大和写字楼	西直门新兴东巷11号
恒生写字楼	宣武区鸭子桥路甲39号
天马大厦	亚运村大屯路222号院
飞翔写字楼	西城区德外大街
百川物业写字楼	新华书店新街口店旁
安信大厦	安定门外兴化路9号
阿原传媒写字楼	石景山高科技园区
京煤大厦	黄寺大街西口26号
三才堂写字楼	清华南门对面
宝鼎广场	前门大街东打磨厂
千山园写字楼	北太平庄双秀公园
TPT大厦	苏州桥东北角
菊园宾馆写字楼	东城区菊儿胡同
嘉曦大厦	东城区朝内大街
捷讯通写字楼	西城区二环以内德胜门桥南
三宇大厦	工人体育场南路甲一号
华远·长安街写字楼项目	朝阳区永安西里
恩菲科技大厦	复兴路戊12号
宫颐府写字楼	交大东路62号
金榜园商务会馆写字楼	西三旗十字路口东北角
豪力大厦	亦庄经济技术开发区隆庆街18号
顺成饭店	金融大街
富通大厦写字楼	车公庄大街乙1号
华安发展大厦	朝阳区亚运村
今儒商务大厦	阜成门外北营房东里13号院
华戍大厦	月坛南街6号
华章大厦	西客站南广场
华恒大厦	西单横二条2号
蓝鼎晨大厦	护国寺大街85号
东润时代大厦	中国北京市西城区阜成门外大街3号
华远置业大厦	北三环东路三元桥畔
锦胜华安商务楼	德胜门内西顺城街46号
中标协写字楼	增光路33号
中发商务写字楼	西直门内南草厂街
中国建材大厦	甘家口三里河路甲11号
永康商务写字楼	车公庄大街北里甲46号
威盛大厦	中关村东路一号院7号楼
花园写字楼	海淀区车公庄西路45号
百盛大厦	复兴门立交桥东北角
中国农大国际创业园	农大南路与天秀路交叉口
深发大厦	安贞西里4区
赢嘉大厦	北土城东路7号
银杉国际中心	东三环双井桥西南
宝汇苑写字楼	西罗园二区
华信大厦	杨庄路110号
优筑大厦	葛家村西里1号
总部特区	京承高速第十三出口
国民大厦	中关村苏州街地铁10号线苏州街站站口
百年经典大厦	西直门内大街玉桃园
蓝靛厂居住区办公楼	蓝靛厂居住区B2地块
中海油大厦	朝阳区东直门外小街
通产大厦	朝阳门外大街东口路北
瑞信中心	农展馆南路北侧团结湖北小区
美邦国际中心	新源南路1-3号
华麟科技大厦	霞光里15号
世界精品大厦	朝外大街南侧商业中心A1区
金岛写字楼	西坝河南路1号
亿丰大厦	永丰路和双清路交汇处
万通发展大厦	牛王庙机场辅路3号
电信大厦	东四十条安外301号楼
道乐大厦	东二环东四十条桥东南角
中国纺织科贸中心办公楼	东四环中路41号
新阳商务楼	珠市口东大街1号
中辰写字楼	望京新兴产业开发区4号地
东内综合楼	东直门内大街19号
大万商厦	东四南大街157号
永盈大厦	崇文门内大街甲106号西北角
立骏大厦	安定门东大街28号
九号书院	青年湖北街9号
汇置通综合楼	后沟胡同乙2号
新中港大厦	东四十条立交桥东南
信远大厦	东单北大街120号
青年湖综合楼	安定门外青年湖
淅江大厦	安贞西里三区12号
未来假日大厦	南四环中路公益西桥北200米
冠城商厦	马甸危改小区北部
海湾科技大厦	苏州街28号
海天大厦二期	羊坊店路18号
大钟寺现代商城	东升乡大钟寺现代商城
华育大厦	万泉河路113号
兴丰大厦	广安路15号
建材城综合服务楼	西三旗建材城中路3号
金晖家园四期	西直门外小村33号
北科置业大厦	中关村大街11号
万景亮城	农大南路与信息路交叉口东北角
信息大厦	广安门内大街315号
魏公大厦	北京市海淀区中关村南大街甲18号
渴望科技大厦	西四环北路15号，四季青乡东冉村
国美商都	丰台区科技园区航丰路４号
双桥大厦	北四环西路68号双桥大厦
西赢商务中心	四季青镇杏石口路99号
银贝会馆	小营西路北侧IIB地块
中关村文化商厦	四环西路66号
中国标协写字楼	增光路33号
新奥特科技大厦	中关村西区综合科贸二区8号地块
天宸大厦	金融街G区4号地
文慧园综合楼	文慧园南路2号
盈创大厦	金融街G区8号
中国生物技术中心	五棵松中国生物技术学术中心二期用地
中经信国际大厦	宣武区广安门内大街338号
盛业家园办公楼	永顺镇龙旺庄村
良友商服综合楼	东外大街61号
智地香蜜湾	后沙峪镇前沙峪裕民大街38号
东北亚国际大厦	宣外大街92号
天伦北里商务写字楼	菜户营12号天伦北里
京鼎原商务楼	西四环北路140号
嘉铭桐城写字楼	北苑路86号嘉铭园F区组团1-9号楼
蜂巢写字楼	昌平区南关路1号
西长安中心	五棵松桥西北角地铁口
中证大厦	西城区广宁佰街,月坛南桥东侧路北
鼎泰大厦	白桥大街15号
京汉大厦	科技园区实兴东街8号
都城大厦	宣武区南横街东口
长安尊府	复兴门内南闹市口
华金泰大厦	建国门内大街南侧
天籁村	京通高速高碑店出口东
美康大厦	光明中街18号
国通大厦	崇文区天坛东路62号
京中大厦	西城区广安门北街,与宣武门西大街路口
正弘大厦	宣武区宣武门东河沿街69号
京乐大厦	北纬路甲1号
博瑞琪大厦	西便门内大街53号甲
北海大厦	宣武区陶然亭路E63号
卡迪拉大厦	天桥南大街北纬路
众义大厦	宣武区牛街南线里
杉浩大厦	芦城工业开发区创新路7号
尚西商务	太平桥路15号
紫翔商城	中心商业区，步行街东侧
国盛科技园写字楼	亦庄经济技术开发区康定街1号
融金时代广场	北四环西路甲二号
新洲大厦	定慧北桥向东500米
景园大厦	朝阳区麦子店
生命人寿大厦	西直门北大街56号
中海地产大厦	太平桥大街96号
雅宝路A1楼	朝阳门外交部南侧
金祺大厦	金融街中心区，金融大街与武定候大街
